"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","322802895.238522","336953373.083558","364178347.531993","393900511.3434","408927485.626788","408583936.388601","430500445.224182","474260796.516996","510512312.91626","569189722.967959","606906333.449014","638546016.85925","672084207.470226","692325009.071933","707396047.776794","715590002.022208","753373665.688466","803670361.916","768634400.789226","819401304.725953","864231831.157892","905121350.289817","938682296.128043","1001496497.16983","951881612.473067","961629840.268185","1019884496.57692","1078389764.69155","1147540485.65063","1293605261.82583","1413385613.40099","1412959714.1241","1241885105.44827","1152469074.07407","1128507777.84862","1168080135.6583","1166866912.80811","1221221060.55215","1270384206.28814","1341395390.63876","1382074629.24002","1450219904.50286",
"Australia","AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","199139047718.85","204089849595.708","206734197138.169","219582762769.18","234906337351.139","248961440446.676","254892994999.378","270958209894.165","284765576902.118","304825928196.663","326687853950.911","339767692195.329","353061555604.021","362288940891.53","377155458071.398","382246591466.222","392138003545.45","406244848988.393","409888764605.755","426461995275.08","439401502001.532","454068105566.42","469182358833.87","458763331606.088","479780916327.655","504966111940.334","525350244893.651","538775816095.741","569690300721.26","591735676616.313","612854394107.81","610427207629.465","612950039053.017","637648386215.098","663031927492.837","688454667518.61","715157638655.217","743524204658.442","777552637827.885","817003041825.571","849136607514.988","865531875868.232","900165537707.341","927044119235.146","964640422450.762","995549419251.556","1023370338682.13","1062711770160.28","1101585168586.88","1122921831117.46","1146138465603.81","1174364700089.06","1220175492942.96","1252091897568.26","1284254470331.22","1314255624127.52","1351669261177.29","1383333225865.24","1422550005324.64",
"Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","91836703339.5229","96922600975.7382","99489765786.6089","103606918511.136","109952172697.415","113778700633.421","120199075025.325","123814720654.546","129352102232.948","137470068345.607","146159747322.549","153635772670.608","163173267863.473","171153151159.323","177900244807.952","177253158036.877","185368597102.924","194785286243.434","194374964316","204787047701.607","208332905591.186","208032292628.472","212216351195.68","218525730110.73","218637779730.792","224100834862.979","229258275343.493","232369695258.041","240028322052.062","249358402441.892","260194624813.073","269149554294.002","274784266755.542","276231856329.01","282867273580.389","290414126234.635","297237508056.37","303460462050.854","314328689139.021","325507255365.782","336495475309.688","340759446602.411","346387257223.224","349648400806.147","359211698966.039","367272649488.203","379958397501.957","394121024471.145","399876867204.146","384823180705.023","391892746544.69","403346978477.779","406091530301.534","406195100294.014","408881165533.779","413554595891.403","421989351972.106","432753797159.88","444564007898.326",
"Azerbaijan","AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22672997489.2598","22514286515.89","17426057674.4447","13400638430.3151","10760712656.9963","9490948466.69312","9614330815.71948","10171962053.4008","11189158287.0384","12017156065.3636","13351060298.9158","14672815268.5084","16057770026.7758","17696995366.1973","19334640158.1058","24740902926.3267","33268154327.4079","41739296291.7775","46160087685.6421","50485058386.531","52902703376.1056","52070545110.5105","53217627468.0711","56326959563.0229","57902587621.89","58510999630.176","56718105558.8029","56558154150.4872","57357249337.7948",
"Burundi","BDI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","597069961.546072","514995918.26075","561670811.689447","584898188.110763","621589073.145239","646248914.035703","676060330.530198","769502134.875392","767209913.650335","756012169.305851","917236835.232064","942431759.973465","882078760.642376","942845613.83468","935992638.90365","942525120.939625","1017386695.90918","1134075385.27516","1123408544.50219","1142112790.67558","1153431764.87503","1293726848.95154","1280096145.19707","1327655902.79585","1329720991.95726","1486404412.37271","1534715238.11495","1619172092.81896","1700633035.37323","1723583116.10835","1783905459.60785","1873044297.81182","1891962014.70775","1773903584.96368","1705963077.72701","1570850801.9071","1445182737.78688","1422204332.30147","1489759038.01604","1474712471.78425","1462076190.64843","1492133656.90531","1558481669.61629","1539410093.67007","1613819909.24558","1628344288.44335","1716499707.8749","1775752462.2736","1862084450.49236","1933081018.33396","2032135246.50004","2114083183.17763","2208090293.90699","2316820971.52452","2415069278.13462","2320881501.75984","2306955748.5603","2318490757.97052","2355586067.90637",
"Belgium","BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","120764863189.279","126777048990.526","133384673232.843","139189019707.401","148871960992.012","154172785119.867","159038316308.665","165190152085.361","172118441191.469","183529549253.245","193792194112.927","201516416339.207","212187928649.521","225729130101.243","236034247405.179","231393952028.372","244474064111.729","246004850188.709","252996053674.129","258918876001.746","270425370783.419","269670117075.018","271274619027.925","272120569190.649","278832103764.379","283437832457.532","288604229888.201","295261346642.314","309207156851.693","319934068909.916","329971688233.146","336020314461.245","341163625451.89","337882064409.106","348785422253.304","357103107688.388","362793178046.024","376254327310.336","383686379912.252","397358416752.966","411796974445.816","415138927919.38","422530458033.305","425802561758.374","441279859459.925","450521432006.845","461812130895.081","477739922304.462","481481381660.697","470632780159.007","483548031197.108","492243705517.819","493399388894.948","494389453126.263","500592443806.033","509300652082.47","516698510031.562","525660075541.229","533218198385.386",
"Benin","BEN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1265426252.94345","1305176840.54665","1260456133.07626","1320076060.7892","1407871139.77503","1482401906.79932","1535410564.13499","1551968411.17281","1611600246.49176","1657974010.96677","1692754286.41874","1667416432.2107","1774570740.64173","1840339265.9851","1901793938.89223","1808694555.93412","1824689860.78429","1915626267.4681","1939668871.92687","2066440729.96277","2206581860.81568","2426230120.12225","2480457972.97837","2372612057.3104","2560756386.93725","2753589661.14604","2813373991.71362","2771173298.85902","2865538547.23059","2783751478.01027","3033624750.94295","3161819648.03392","3255337130.07533","3445324207.02456","3514933552.72688","3727418268.32545","3888602421.28731","4111601652.35799","4274462692.87475","4502780953.5408","4766643561.74839","5020725247.66353","5253911326.863","5434858389.27326","5675602453.88052","5772744795.73959","6000595826.4159","6359822426.97484","6670811297.13694","6826194585.37376","6970240895.49888","7176751732.08258","7522418417.64518","8063258961.67978","8575423619.90242","8755148067.02613","9102277422.82945","9633652295.47865","10294328388.6737",
"Burkina Faso","BFA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1153497471.75521","1200144078.72412","1273698494.39634","1257547788.94945","1286255331.61624","1334676997.28504","1341852395.43964","1460248258.7904","1505089181.74741","1535583508.30374","1537380442.1502","1559108853.07615","1595147634.58968","1602315070.06168","1735089730.35784","1787114363.9664","1939642697.91623","1946826233.6606","2036532579.66401","2111163790.67383","2127987208.88243","2218539520.81643","2430680631.95068","2439090416.0079","2395706395.59655","2599757453.52648","2806577589.00363","2799944613.51917","2962218006.55865","3025913610.99051","3007669516.04935","3280464673.78828","3288098668.1456","3401912420.09734","3446647815.81348","3643671090.83705","4045012128.92928","4300528860.1238","4614799451.96413","4956487462.32454","5046707523.52324","5380466456.43255","5614678393.87183","6052760301.03174","6323831618.4998","6871593161.43807","7301284780.41566","7714172808.44856","8276883001.25427","8522045465.25424","8979966766.07232","9575057057.97374","10192906645.5417","10783339866.97","11249917444.6573","11688050885.8802","12381635616.5773","13161938186.8","14018754438.9653",
"Bangladesh","BGD","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","17862545310.7226","18944687033.1706","19977746684.2347","19886669277.8428","22064814112.6956","22419232005.0757","22994691542.7769","22563342420.6917","24704480424.0584","25006087027.2168","26411392182.3557","24964184430.4711","21475757025.4792","22189972024.4145","24318424444.0714","23324235189.0411","24644704390.5094","25303471152.2294","27093397642.2551","28394323597.912","28626913390.8931","30697768187.1802","31352959198.5596","32569782092.7714","34134209697.98","35274979988.1662","36747139850.6845","38133389635.1624","39054790276.5184","40162611478.0515","42420657179.7908","43899113723.2774","46288404442.7889","48469311189.3945","50354828679.5772","52933639390.898","55327785139.4964","57811945426.5395","60804885377.3372","63644568604.0114","67013463192.5145","70415929567.4442","73115059421.307","76580396941.519","80592852042.2251","85860356477.7026","91588877878.6561","98053769823.2911","103950517391.466","109194950718.059","115279077465.226","122731159566.449","130734992458.51","138596885516.148","146997325017.061","156629549345.307","167771375851.352","179992151721.964","194146210562.862",
"Bulgaria","BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","28567896236.6319","29967769392.1754","30667386625.1523","31719371801.814","32796702382.564","33676782455.6654","35093767429.2676","37218524434.8179","41291977325.0305","39933519967.5105","36292630364.1532","33227588804.6568","30811149654.799","30355078448.626","30906937186.95","31790934141.0586","32014958711.2495","31666373358.603","33676864762.4205","30845268715.3107","32315283606.3355","33533640178.6923","35524705563.8283","37356436983.8906","39760457560.5794","42592798158.9278","45520779748.2063","48864017869.2297","51806552050.9002","49948693651.0085","50610058210.3696","51579193177.2032","51595167185.5963","51850006768.6476","52802761608.2307","54635643698.3891","56786516853.9326","58950791931.772","60767158521.7273",
"Bahrain","BHR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7624221103.47913","7218864341.89657","6673391235.87742","7098911806.39139","7454116226.23047","7099429359.04756","7183415176.43469","7930419191.02771","8485547872.1663","8516435872.13312","8894395055.67055","9893235511.91183","10555092806.0632","11913533954.1921","11883749942.4451","12350780310.4502","12858398136.4749","13256108363.4132","13891076323.6746","14488392461.1778","15256276507.3657","15636315475.986","16201435104.2376","17177401647.9676","18376546950.2211","19620444333.8462","20889606053.0421","22621864899.6304","24034629395.827","24645054296.3673","25713271276.5957","26223377131.9619","27202099523.9053","28675502255.2549","29922841390.6393","30779223483.5898","31847546846.6869","33058875381.0199","33646560943.3779",
"Bahamas, The","BHS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1942538097.61501","2149750529.0866","2374441850.10685","2624329421.19867","2899925138.96336","3202259632.40814","3492766343.41696","3828006034.15818","4150391651.56297","4523165825.37743","4267622809.06613","4337036067.07757","4185355346.26048","4502084992.61466","3747795359.80246","3193004478.75685","3358567667.13532","3666042159.83818","4185869346.18629","5280026115.10758","5622978696.80712","5104179904.68397","5446103697.7852","5642002872.57775","6441539485.04816","6752613028.89394","6873957500.38138","7079112091.74079","7242618886.04269","7729853744.61442","7606466024.82856","7288379986.19989","7009557035.5732","7031132893.131","7252537335.06421","7570107965.2358","7889833778.37589","8052541057.62784","8432337724.51058","9034753608.33579","9409627491.5515","9656694580.55466","9917865835.46098","9792432526.23075","9878884030.66906","10214307272.5531","10471385975.1648","10622859247.2052","10375987506.7603","9942763009.20556","10095760000","10157636655.8148","10471171091.7508","10428194408.9434","10412761872.8443","10521571019.7704","10343803831.7942","10492464084.5963","",
"Bosnia and Herzegovina","BIH","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2758501862.26045","3332270264.77958","6296580077.19916","8461947179.52191","9782010631.81418","10721083632.4236","11310743278.9328","11808415927.4057","12434262003.1151","12931632491.3659","13720457777.4768","14922267894.6299","15730647389.4494","16651768808.8305","17555414776.1901","17028269113.564","17176781336.7644","17341498611.7695","17198998442.4731","17603352745.9877","17805445926.7285","18355317938.647","18932713482.7656","19531661136.3175","20130528204.7809",
"Belarus","BLR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32406543391.6931","32017666306.6662","28943969894.2669","26744227649.0937","23615151971.7791","21159176050.6458","21751633964.0797","24231321411.7377","26266750331.3539","27159819622.8275","28735090095.2695","30092911029.8867","31611178883.8695","33837615082.7504","37711935082.718","41256857555.0639","45382541170.3599","49285442677.3264","54312557554.1902","54421180122.0475","58665088956.0255","61820512466.141","62863508300.7594","63494325276.0969","64590481690.9209","62116943620.6317","60547592312.6721","62080768455.0003","63974173257.5273",
"Belize","BLZ","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","98693489.8820038","103521849.004164","108586813.006536","113968846.937562","119667152.419723","125567390.38702","131558016.09477","138021623.455083","148189987.634632","155757123.805982","163245448.710894","169709056.071207","187050443.062948","197061184.70962","223782652.135627","231822769.95954","231743901.666136","246799362.742398","266347864.383179","286369290.649558","324847820.902721","328530850.714647","328176988.727382","321143565.240334","327476725.171554","330792472.58004","345808654.491284","382932265.267936","420412570.412269","475104971.357793","529473080.100745","590172066.840277","661343544.753389","702847428.144437","703960480.458727","708495663.950814","718614471.69727","744086991.549998","771920655.885811","839687566.926528","949011339.40932","996609808.666379","1047635085.31241","1145357976.24016","1198595214.82731","1229495105.0487","1285825657.33008","1300041567.419","1342018033.27385","1351020310.06112","1396731700","1426937515.02326","1468858265.53273","1481371977.7259","1536069733.92865","1588786886.58966","1579444443.95268","1602145624.35887","1651005359.01378",
"Bermuda","BMU","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1236024650.86844","1293870604.52905","1351706620.55154","1366169881.39142","1517951355.21397","1590205839.72223","1818617223.97319","2060039383.27642","2103408633.45069","2175690717.0744","2313026675.95958","2392536967.94565","2435906218.11992","2472047259.93172","2493731885.01891","2587698593.72971","2819001261.32568","2985250053.66029","3028619303.83456","3093673179.09591","3339432263.4166","3418942555.40268","3238237346.34334","3303291221.60469","3319193280.00197","3252693763.06806","3469540013.93931","3599647764.46201","3745657573.382","3762282452.61539","3763005273.45173","3630006239.58401","3627837777.07534","3736983723.34719","3759391169.27049","3924772345.29896","4026835109.98094","4212069525.04015","4376340236.51672","4524376453.24803","4945919646.2653","5303135527.75517","5224766301.37623","5402967729.76868","5528385008.41416","5620941625.4668","5932559093.07918","6101393205.83452","6194616021.02816","5867281536.74729","5744414000","5552579615.57093","5284137923.53055","5151445059.9242","","","","","",
"Bolivia","BOL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","3676733642.10252","3753551488.66047","3962959042.97599","4232346168.42418","4399803030.18928","4615984798.22048","4946978126.99362","5259489594.76929","5708094766.25371","5963480481.85532","6275431893.23715","6593178122.71294","7118488614.69433","7527030174.28887","7748292330.78603","8314771356.62179","8698462092.14427","9130881401.37437","9318310508.23123","9330735920.26726","9202739205.92012","9228103797.76153","8864632688.12718","8506313732.94432","8489243603.23777","8346931014.88803","8132091480.78708","8332423696.09193","8574855959.99054","8899854152.23731","9312432337.00174","9802874144.35443","9964278166.45114","10389682466.0544","10874597044.0412","11383340336.3661","11879806859.9085","12468357290.0133","13095434908.7955","13151337955.4457","13481148202.0608","13708143902.0779","14048868708.0998","14429781404.2691","15031978651.7184","15696607781.9891","16449575496.8069","17200397083.6177","18257963015.8351","18870883064.1337","19649631450.6819","20672217124.522","21731104864.155","23207953294.4786","24475239169.1195","25664047552.5822","26758341881.7252","27880910346.8608","29058495427.5788",
"Brazil","BRA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","246661854226.253","272008608204.741","286196738836.702","288700023271.673","298762900195.275","307885589183.513","320663950240.226","336425435318.519","374869719821.502","411366386806.025","447443002845.25","497982078591.116","558002873764.336","636004374891.996","693512655666.751","729638256284.47","801072834269.764","837972796917.598","865053643933.736","923585638585.237","1007733158115.63","963459840853.251","969050273738.546","936007660747.578","985327244285.169","1063619984888.47","1148585088075.65","1189929895357.39","1188708161986.97","1227691357100.6","1189604001251.3","1207590067132.79","1201951669565.71","1258024746134.61","1325134726637.11","1383662367610.28","1414207205945.88","1462217362494.31","1467161088733.51","1474026486641.66","1538706023647.11","1560092443326.51","1607729271032.29","1626070712767.17","1719731810823.1","1774799882787.63","1845117253979.08","1957113483856.3","2056812669849.93","2054224952705.78","2208871646202.82","2296661550704.87","2340784460891.31","2411120883015.01","2423271865109.14","2337348378410.64","2260088395634.38","2284132600500.23","2309659590893.59",
"Barbados","BRB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","2647501716.19359","2597199183.58591","2710442548.20157","2809162443.03451","2946163590.65182","3178704522.54884","3317711331.56838","3253720394.37649","3093267482.19829","3108981942.66935","3219396704.40022","3254133932.80993","3419962844.62297","3507632992.51415","3628799753.5147","3759477898.48457","3635416368.44988","3493159147.34344","3249171471.60855","3288871161.21965","3413346229.68779","3482407148.07376","3620528984.84572","3792147434.72704","3933991117.40004","3946810808.83696","4122564643.05277","4024556034.32536","4056812032.13438","4144482180.02556","4202791099.14187","4369860626.25525","4617570147.89118","4699037219.28063","4704826757.34891","4517907385.42998","4529900000","4559674767.20833","4572494458.64524","4572907997.07869","4573735073.94559","4615088917.29049","4707721526.38306","4754798741.64689","",
"Brunei Darussalam","BRN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","7076283755.04218","7101437330.39971","8532760029.33627","9464255592.2259","10105537880.4547","12385592665.9333","11519009534.2868","9235168243.49102","9600571983.86506","9648715584.89183","9706595966.2633","9561894976.16429","9302244591.12579","9489138760.54273","9593269453.61204","9490220608.72755","9593609020.9021","9895418335.16685","10366299816.6483","10397872753.9421","10724927172.7173","11205265273.194","11527788412.1746","11358194866.1533","11294758342.5009","11639492115.8783","11971150348.3682","12299643564.3564","12775897689.769","13146904070.407","13213206307.2974","13264408434.1768","13847739933.9934","13869146021.2688","13600124165.7499","13360145141.1808","13707370737.0737","14220755408.8742","14350568390.1724","14045471213.788","13715438210.4877","13637697103.0436","13301457645.7646","13478200953.4287","13485256343.1666",
"Bhutan","BTN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","165165439.146861","188136200.88393","194559060.675521","216565078.847304","226271753.354426","235801810.576482","263462722.663821","339066684.688327","355976922.525405","382435357.411604","424030689.295613","422301169.504529","441730787.82885","450505180.615888","472811961.168546","506259233.805762","534433435.297499","563153025.102705","596458068.653373","644079113.976625","688733275.071953","745235395.466464","825183060.874733","888427847.119336","940813179.477384","1007823159.38045","1076852655.51349","1269887377.45454","1330440105.87773","1419010481.1982","1585472534.10547","1710580806.57351","1797336501.23336","1835844373.82886","1941321989.27355","2070314376.30943","2236397091.16322","2339922180.01249","2393521565.14043",
"Botswana","BWA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","205010514.046991","218014912.606046","232549242.614046","246318588.140598","263147815.322015","278447111.054487","296111848.944554","313655172.933376","346799292.275962","399247152.769046","467599333.990521","588338659.37597","743436149.331587","901811720.835965","981151269.275468","1064021762.04802","1177312167.33862","1318731376.88286","1507742528.60751","1690911970.42458","1893599920.75956","2065252054.53488","2316500951.15227","2621045054.62282","2845023409.90628","3047739045.53683","3296828451.58564","3688555238.94084","4405978108.23722","4981372672.72979","5318752174.48613","5715462427.58618","5882186484.96478","5994895480.29139","6212385253.8594","6649141424.18378","7036773076.14529","7622647125.23515","7656466026.76487","8396635029.8643","8563534596.26097","8584992576.02696","9106061350.41439","9527298168.17184","9785089872.92033","10230961745.6804","11086666195.2035","12004283368.7509","12754003367.4123","11778027466.4962","12786654365.8738","13560031674.6853","14164289360.2583","15771004794.7832","16425389502.779","16146492036.747","16841400458.3995","17331070056.1014","18102919590.5162",
"Central African Republic","CAF","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","899673476.738201","944239286.414515","909172126.057338","902744181.369777","921524190.644542","930256357.703387","936254499.254336","980039499.899138","993800363.656349","1064276139.08479","1089104433.60978","1101413517.88332","1101403966.7025","1122208826.30976","1193346021.00954","1198178918.50123","1263270215.74599","1311353247.75692","1327210595.70272","1294493025.82569","1236517358.28707","1217419772.25025","1311353247.75692","1204785947.82904","1319020458.15505","1370821287.29767","1419868988.57078","1349741831.24203","1372824647.47333","1399969103.34562","1369904373.93957","1362335063.14478","1274817593.34965","1279091746.76374","1341766595.26267","1438374401.39715","1380838088.17595","1454021623.36505","1522362709.88165","1577167385.39016","1537904868.8606","1606568307.72966","1664670528.41406","1574820182.70521","1669228829.45736","1684388941.20377","1764752576.5695","1846064166.63098","1883984742.25623","2045767418.4676","2140503193.16261","2230289068.40098","2343002553.18241","1498644740.12625","1500402157.39595","1568862633.67272","1647404381.29826","1720833859.39331","1795528545.69271",
