Crime;Incidents2016;Incidents2019
Aggravated Assault;2097;1706
Arson;263;167
Burglary;3758;3134
Larceny and Theft;22488;18501
Motor Vehicle Theft;4346;2155
Murder and Manslaughter;16;15
Rape;382;353
Robbery;836;855
Crime Rate (Total Incidents);32790;25811
Property Crime;30592;23613
Violent Crime;3331;2928
