"Timestamp","Borderlands 1","Borderlands 2","Borderlands Pre-Sequel ","Borderlands 3"
"2019/08/15 8:50:30 pm GMT+3","Mordecai","Maya","Athena","Moze"
"2019/08/15 8:50:45 pm GMT+3","Mordecai","Zer0","Claptrap","Moze"
"2019/08/15 8:51:03 pm GMT+3","Lilith","Axton","Claptrap","Fl4k"
"2019/08/15 8:51:39 pm GMT+3","Lilith","Maya","",""
"2019/08/15 8:52:12 pm GMT+3","Lilith","Maya","Claptrap","Fl4k"
"2019/08/15 8:52:17 pm GMT+3","Lilith","Zer0","Jack","Zane"
"2019/08/15 8:52:30 pm GMT+3","Mordecai","Maya","","Fl4k"
"2019/08/15 8:53:11 pm GMT+3","Roland","Gaige","Nisha","Fl4k"
"2019/08/15 8:53:40 pm GMT+3","Roland","Gaige","Jack","Fl4k"
"2019/08/15 8:53:52 pm GMT+3","Lilith","Axton","Aurelia","Fl4k"
"2019/08/15 8:54:23 pm GMT+3","Roland","Salvador","Athena","Amara"
"2019/08/15 8:56:39 pm GMT+3","Lilith","Maya","Wilhelm","Amara"
"2019/08/15 8:56:44 pm GMT+3","Lilith","Maya","Nisha","Fl4k"
"2019/08/15 8:57:10 pm GMT+3","Mordecai","Axton","Athena","Fl4k"
"2019/08/15 8:57:11 pm GMT+3","Mordecai","Krieg","Athena","Moze"
"2019/08/15 8:57:36 pm GMT+3","Mordecai","Gaige","Jack","Fl4k"
"2019/08/15 8:57:43 pm GMT+3","Mordecai","Zer0","Nisha","Fl4k"
"2019/08/15 8:57:44 pm GMT+3","Mordecai","Zer0","Nisha","Zane"
"2019/08/15 8:57:53 pm GMT+3","Lilith","Gaige","Claptrap","Zane"
"2019/08/15 8:57:56 pm GMT+3","Lilith","Maya","Athena","Moze"
"2019/08/15 8:58:04 pm GMT+3","Roland","Gaige","Jack","Fl4k"
"2019/08/15 8:58:27 pm GMT+3","Lilith","Maya","Athena","Amara"
"2019/08/15 8:59:25 pm GMT+3","Roland","Salvador","Claptrap","Moze"
"2019/08/15 8:59:36 pm GMT+3","Roland","Gaige","Nisha","Zane"
"2019/08/15 8:59:39 pm GMT+3","Brick","Krieg","Athena","Amara"
"2019/08/15 8:59:43 pm GMT+3","Roland","Axton","Nisha","Fl4k"
"2019/08/15 8:59:47 pm GMT+3","Mordecai","Zer0","Jack","Fl4k"
"2019/08/15 8:59:54 pm GMT+3","Mordecai","Gaige","Claptrap","Fl4k"
"2019/08/15 8:59:59 pm GMT+3","Roland","Axton","Claptrap","Fl4k"
"2019/08/15 9:00:22 pm GMT+3","Mordecai","Maya","Athena","Fl4k"
"2019/08/15 9:00:25 pm GMT+3","Brick","Zer0","Claptrap","Fl4k"
"2019/08/15 9:00:31 pm GMT+3","Lilith","Krieg","Athena","Moze"
"2019/08/15 9:01:01 pm GMT+3","Mordecai","Maya","Claptrap","Zane"
"2019/08/15 9:01:07 pm GMT+3","Lilith","Maya","Aurelia","Amara"
"2019/08/15 9:01:23 pm GMT+3","Roland","Salvador","Wilhelm","Fl4k"
"2019/08/15 9:01:44 pm GMT+3","Lilith","Maya","Athena","Amara"
"2019/08/15 9:02:32 pm GMT+3","Lilith","Maya","Claptrap","Amara"
"2019/08/15 9:02:53 pm GMT+3","Mordecai","Zer0","Aurelia","Zane"
"2019/08/15 9:02:57 pm GMT+3","Mordecai","Zer0","Aurelia","Zane"
"2019/08/15 9:03:07 pm GMT+3","Mordecai","Maya","Wilhelm","Fl4k"
"2019/08/15 9:03:22 pm GMT+3","Roland","Maya","Nisha",""
"2019/08/15 9:03:43 pm GMT+3","Brick","Krieg","Jack","Zane"
"2019/08/15 9:03:51 pm GMT+3","Roland","Zer0","Athena","Fl4k"
"2019/08/15 9:04:10 pm GMT+3","Lilith","Maya","Aurelia","Zane"
"2019/08/15 9:04:33 pm GMT+3","Lilith","Maya","Nisha","Zane"
"2019/08/15 9:04:33 pm GMT+3","Mordecai","Salvador","Athena","Moze"
"2019/08/15 9:04:39 pm GMT+3","Mordecai","Salvador","Jack","Fl4k"
