Player,Team,Kills,Deaths
fer,MIBR,44,24
FalleN,MIBR,39,29
coldzera,MIBR,40,32
TACO,MIBR,36,23
felps,MIBR,32,31
jks,Renegades,32,37
jkaem,Renegades,29,41
Gratisfa,Renegades,34,37
AZR,Renegades,24,41
Liazz,Renegades,20,36
