Player,Team,Kills,Deaths
xseveN,ENCE,28,39
sergej,ENCE,28,36
allu,ENCE,27,38
Aerial,ENCE,28,37
Aleksib,ENCE,18,39
Xyp9x,Astralis,42,20
device,Astralis,42,23
dupreeh,Astralis,40,28
Magisk,Astralis,38,29
gla1ve,Astralis,24,29
