marka,rok,OC,szkody
Renualt,OC_2018,667,20.2
Skoda,OC_2018,670,20.3
Toyota,OC_2018,671,21.5
Fiat,OC_2018,683,17.4
Citroen,OC_2018,669,21.3
Opel,OC_2018,692,19.3
Peugeot,OC_2018,700,19.3
Ford,OC_2018,707,20.6
Volkswagen,OC_2018,712,18.6
Audi,OC_2018,814,17.3
BMW,OC_2018,939,16.8
Renualt,OC_2019,614,20.2
Skoda,OC_2019,619,20.3
Toyota,OC_2019,624,21.5
Fiat,OC_2019,633,17.4
Citroen,OC_2019,641,21.3
Opel,OC_2019,650,19.3
Peugeot,OC_2019,658,19.3
Ford,OC_2019,666,20.6
Volkswagen,OC_2019,672,18.6
Audi,OC_2019,760,17.3
BMW,OC_2019,887,16.8
