Value
33.438
44.02
29.653
5.382
7.20
5.35
4.994
9.199
5.295
2.462
4.904
2.991
0.033
0.043
0.081
72.269
49.128
82.915
8.351
5.89
10.941
7.575
6.195
11.603
1.066
1.648
2.998
0.091
0.126
0.285
17.393
17.564
20.646
3.94
2.832
3.48
3.203
3.52
4.142
1.045
1.738
2.163
0.171
0.251
0.422
12.165
23.542
19.882
1.504
2.782
2.681
1.007
2.067
2.120
0.777
1.628
1.72
0.033
0.071
0.147
4.64
2.95
3.693
0.265
0.481
0.616
0.073
0.442
0.588
0.030
0.201
0.272
0.005
0.003
0.005
30.075
31.742
34.73
5.979
4.674
6.035
4.478
3.981
6.902
1.863
2.341
3.998
0.361
0.603
1.21
43.537
64.44
25.154
4.502
9.49
2.876
5.527
8.185
3.191
3.882
7.20
2.909
0.510
5.43
1.115
7.567
4.447
4.554
1.146
0.682
0.640
1.076
0.733
0.694
0.699
0.559
0.530
0.405
0.421
0.476
2161.886
1844.366
1761.552
307.838
256.751
259.97
247.398
245.073
251.847
131.891
179.043
158.726
14.552
21.844
24.649
26.633
19.967
20.051
3.936
2.837
3.601
3.243
2.339
3.25
1.222
1.186
2.458
0.118
0.096
0.266
228.834
242.243
222.095
26.406
32.634
30.149
19.433
27.49
25.216
3.53
14.276
13.092
0.090
0.536
0.476
240.17
409.324
177.662
28.153
50.855
22.409
29.346
63.944
24.086
31.43
69.573
22.803
1.311
3.148
1.589
69.214
41.483
36.532
22.17
10.436
8.596
6.836
7.437
6.901
0.780
2.858
3.039
0.052
0.263
0.336
36.726
39.374
40.011
6.821
6.815
5.842
6.355
6.975
5.555
1.708
3.342
3.495
0.024
0.104
0.310
3.077
1.318
0
0.395
0.170
0
0.386
0.166
0
0.295
0.126
0
0.132
0.057
0
35.669
0
26.273
2.94
0
3.032
2.906
0
2.519
1.13
0
1.311
0.154
0
0.186
252.806
173.995
286.901
50.073
26.637
50.762
43.08
28.196
62.91
33.924
29.616
46.45
3.392
2.922
3.751
10.532
7.525
6.664
1.593
1.431
1.104
1.459
1.238
1.124
0.744
0.740
0.773
0.322
0.348
0.389
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
8.425
22.707
8.368
1.498
4.073
1.513
1.502
4.345
1.677
0.699
2.386
1.021
0.159
0.599
0.389
4.745
2.162
3.241
0.409
0.285
0.416
0.332
0.211
0.349
0.095
0.073
0.113
0.002
0.001
0.007
1.994
1.961
2.364
0.108
0.123
0.180
0.079
0.082
0.155
0.040
0.030
0.074
0.003
0
0.015
100.11
58.902
54.784
10.718
6.489
7.069
13.47
8.135
9.269
10.376
7.615
8.676
0.686
0.933
0.934
7.317
10.897
7.538
1.222
1.423
0
0.943
1.357
0
0.375
0.687
0
0.017
0.040
0
51.737
24.347
27.831
4.637
2.182
3.72
4.559
2.146
3.375
4.342
2.043
3.040
1.336
0.629
1.317
225.581
125.264
139.352
46.599
19.893
19.605
23.818
12.446
14.976
4.958
4.069
8.41
1.165
1.019
3.694
50.982
38.793
42.121
8.349
7.499
7.422
8.057
6.313
5.884
3.523
2.74
2.613
0.367
0.350
0.392
48.009
68.704
55.672
4.15
6.168
6.055
5.699
5.589
6.395
3.493
3.858
4.344
0.503
1.384
1.178
18.943
36.686
30.658
0
0
0
0
0
0
0
0
0
0
0
0
14.507
23.129
16.765
1.813
2.66
2.179
1.378
3.47
2.522
1.016
2.082
1.541
0.145
0.462
0.872
8.797
9.085
6.081
1.344
1.387
1.067
1.328
1.371
1.009
0.339
0.351
0.489
0.011
0.013
0.035
231.683
137.743
150.331
30.73
25.218
27.804
34.019
18.766
21.213
11.771
7.532
7.918
1.112
0.836
0.803
70.389
32.751
37.348
8.455
3.957
5.341
7.459
3.498
5.054
7.117
3.359
4.448
2.558
1.144
1.589
51.133
30.408
31.533
6.188
3.897
5.259
6.594
4.067
4.874
3.771
2.639
3.062
0.232
0.174
0.306
292.878
324.35
333.04
25.89
10.473
26.683
9.696
5.183
11.326
6.656
3.917
4.766
0.013
0.008
0.010
318.533
151.421
232.863
25.007
13.322
26.081
15.194
8.907
20.438
6.054
3.137
10.985
1.28
0.738
4.813
