Type;Sector;Value
1 week;S&P 500;0.7
1 week;Financials;0.8
1 week;Comm. Services;1
1 week;Consumer;1
1 week;Discr.;1
1 week;Technology;1.3
1 week;Industrials;1.6
1 week;Materials;1.9
YTD;S&P 500;20.4
YTD;Financials;21.3
YTD;Comm. Services;22.4
YTD;Consumer;22.4
YTD;Discr.;22.8
YTD;Technology;23.8
YTD;Industrials;29.3
YTD;Materials;33.2
