Player,Team,Kills,Deaths
Kjaerbye,North,61,34
aizy,North,57,37
JUGi,North,52,40
gade,North,43,43
mouz,Aristocracy,45,50
cajunb,North,36,42
rallen,Aristocracy,39,47
TaZ,Aristocracy,39,50
MINISE,Aristocracy,36,48
dycha,Aristocracy,36,54
