"id","vote_mean","budget_mean","revenue_mean","popularity_mean","popularity_sum","vote_sum","name"
47652,5.5,0,0,0.375423,0.375423,5.5,"Martin Kemp"
47653,6.7,0,0,18.591657,18.591657,6.7,"Aidan McArdle"
47654,5.3,0,0,6.632891,6.632891,5.3,"Paul McGann"
47722,5.7,4.7e+07,12379402,6.067212,6.067212,5.7,"George Cole"
47774,5,2.9e+07,16930185,8.93941,8.93941,5,"Vincent Pastore"
47775,7.3,7e+07,130293714,45.299089,45.299089,7.3,"Marc Anthony"
47796,4.8,0,0,0.20323,0.20323,4.8,"Pascal Bongard"
47820,6.6,0,0,8.426589,8.426589,6.6,"Benoît Poelvoorde"
47879,7.05,26500000,30150000,14.9169855,29.833971,14.1,"John Savage"
47983,4.7,2.5e+07,1e+08,6.889437,6.889437,4.7,"Victoria Beckham"
47984,4.7,2.5e+07,1e+08,6.889437,6.889437,4.7,"Melanie Brown"
47985,4.7,2.5e+07,1e+08,6.889437,6.889437,4.7,"Emma Bunton"
48576,6.9,8e+06,127392239,17.537154,17.537154,6.9,"Charles Berling"
48577,7,0,0,0.024186,0.024186,7,"Mathilde Seigner"
48958,5.5,1e+06,9e+06,1.444258,1.444258,5.5,"Debra Paget"
49002,5,0,3005459,1.837861,5.513583,15,"Donald Faison"
49265,5.625,20781250,46602875.625,15.275219625,122.201757,45,"Lindsay Lohan"
49271,7.2,1.5e+07,4.2e+07,47.006162,47.006162,7.2,"Brian Geraghty"
49278,6.5,4e+06,41424067,4.992475,4.992475,6.5,"Olivier Rabourdin"
49326,5.2,6e+06,0,4.957014,4.957014,5.2,"Jonathan LaPaglia"
49346,4.2,5.7e+07,28283637,9.27875,9.27875,4.2,"Debora Weston"
49425,5.1,8e+06,843214.5,4.61433,9.22866,10.2,"Annabeth Gish"
49609,6,8500000,8936663,9.029489,9.029489,6,"Sorapong Chatree"
49623,5.6,1e+06,10047674,6.926926,6.926926,5.6,"Jared Padalecki"
49624,5.3,1.5e+07,100734718,13.706357,13.706357,5.3,"Jensen Ackles"
49706,6,0,0,2.242809,2.242809,6,"Adam Rodríguez"
49734,6,5e+07,88323487,16.251204,16.251204,6,"Fann Wong"
49735,5.7,2e+07,17280326,15.66135,15.66135,5.7,"Aidan Gillen"
