"x","y","type","country"
1999.25,2,"1","Austria"
1999.5,2,"1","Austria"
1999.75,2,"1","Austria"
2000,2,"1","Austria"
2000.25,2,"1","Austria"
2000.5,2,"1","Austria"
2000.75,2,"1","Austria"
2001,2,"1","Austria"
2001.25,2,"2","Austria"
2001.5,2,"2","Austria"
2001.75,2,"1","Austria"
2002,2,"1","Austria"
2002.25,2,"1","Austria"
2002.5,2,"1","Austria"
2002.75,2,"1","Austria"
2003,2,"1","Austria"
2003.25,2,"1","Austria"
2003.5,2,"1","Austria"
2003.75,2,"1","Austria"
2004,2,"1","Austria"
2004.25,2,"1","Austria"
2004.5,2,"1","Austria"
2004.75,2,"1","Austria"
2005,2,"1","Austria"
2005.25,2,"1","Austria"
2005.5,2,"1","Austria"
2005.75,2,"1","Austria"
2006,2,"1","Austria"
2006.25,2,"1","Austria"
2006.5,2,"1","Austria"
2006.75,2,"1","Austria"
2007,2,"1","Austria"
2007.25,2,"1","Austria"
2007.5,2,"1","Austria"
2007.75,2,"1","Austria"
2008,2,"1","Austria"
2008.25,2,"1","Austria"
2008.5,2,"2","Austria"
2008.75,2,"2","Austria"
2009,2,"2","Austria"
2009.25,2,"2","Austria"
2009.5,2,"2","Austria"
2009.75,2,"1","Austria"
2010,2,"1","Austria"
2010.25,2,"1","Austria"
2010.5,2,"1","Austria"
2010.75,2,"1","Austria"
2011,2,"1","Austria"
2011.25,2,"1","Austria"
2011.5,2,"1","Austria"
2011.75,2,"1","Austria"
2012,2,"1","Austria"
2012.25,2,"1","Austria"
2012.5,2,"1","Austria"
2012.75,2,"1","Austria"
2013,2,"2","Austria"
2013.25,2,"2","Austria"
2013.5,2,"1","Austria"
2013.75,2,"1","Austria"
2014,2,"1","Austria"
2014.25,2,"1","Austria"
2014.5,2,"1","Austria"
2014.75,2,"1","Austria"
2015,2,"1","Austria"
2015.25,2,"1","Austria"
2015.5,2,"1","Austria"
2015.75,2,"1","Austria"
2016,2,"1","Austria"
2016.25,2,"1","Austria"
2016.5,2,"1","Austria"
2016.75,2,"1","Austria"
2017,2,"1","Austria"
2017.25,2,"1","Austria"
2017.5,2,"1","Austria"
2017.75,2,"1","Austria"
2018,2,"1","Austria"
2018.25,2,"1","Austria"
2018.5,2,"1","Austria"
2018.75,2,"1","Austria"
2019,2,"1","Austria"
2019.25,2,"1","Austria"
2019.5,2,"1","Austria"
1999.25,3,"1","Belgium"
1999.5,3,"1","Belgium"
1999.75,3,"1","Belgium"
2000,3,"1","Belgium"
2000.25,3,"1","Belgium"
2000.5,3,"1","Belgium"
2000.75,3,"1","Belgium"
2001,3,"1","Belgium"
2001.25,3,"2","Belgium"
2001.5,3,"2","Belgium"
2001.75,3,"2","Belgium"
2002,3,"2","Belgium"
2002.25,3,"1","Belgium"
2002.5,3,"1","Belgium"
2002.75,3,"1","Belgium"
2003,3,"1","Belgium"
2003.25,3,"1","Belgium"
2003.5,3,"1","Belgium"
2003.75,3,"1","Belgium"
2004,3,"1","Belgium"
2004.25,3,"1","Belgium"
2004.5,3,"1","Belgium"
2004.75,3,"1","Belgium"
2005,3,"1","Belgium"
2005.25,3,"1","Belgium"
2005.5,3,"1","Belgium"
2005.75,3,"1","Belgium"
2006,3,"1","Belgium"
2006.25,3,"1","Belgium"
2006.5,3,"1","Belgium"
2006.75,3,"1","Belgium"
2007,3,"1","Belgium"
2007.25,3,"1","Belgium"
2007.5,3,"1","Belgium"
2007.75,3,"1","Belgium"
2008,3,"1","Belgium"
2008.25,3,"1","Belgium"
2008.5,3,"1","Belgium"
2008.75,3,"2","Belgium"
2009,3,"2","Belgium"
2009.25,3,"2","Belgium"
2009.5,3,"2","Belgium"
2009.75,3,"1","Belgium"
2010,3,"1","Belgium"
2010.25,3,"1","Belgium"
2010.5,3,"1","Belgium"
2010.75,3,"1","Belgium"
2011,3,"1","Belgium"
2011.25,3,"1","Belgium"
2011.5,3,"1","Belgium"
2011.75,3,"1","Belgium"
2012,3,"1","Belgium"
2012.25,3,"1","Belgium"
2012.5,3,"2","Belgium"
2012.75,3,"2","Belgium"
2013,3,"2","Belgium"
2013.25,3,"2","Belgium"
2013.5,3,"1","Belgium"
2013.75,3,"1","Belgium"
2014,3,"1","Belgium"
2014.25,3,"1","Belgium"
2014.5,3,"1","Belgium"
2014.75,3,"1","Belgium"
