"endTime","artistName","trackName","msPlayed"
"2019-01-01 15:09:00","Queens of the Stone Age","In The Fade/Feel Good Hit Of The Summer (Reprise)",50000
"2019-01-01 16:51:00","Queens of the Stone Age","Monsters In The Parasol",197638
"2019-01-01 16:54:00","Queens of the Stone Age","Feel Good Hit Of The Summer",163266
"2019-01-01 16:58:00","Queens of the Stone Age","The Lost Art Of Keeping A Secret",216013
"2019-01-01 17:00:00","Queens of the Stone Age","Leg Of Lamb",168653
"2019-01-01 17:04:00","Queens of the Stone Age","Auto Pilot",240986
"2019-01-01 17:10:00","Queens of the Stone Age","Better Living Through Chemistry",349200
"2019-01-01 17:14:00","Queens of the Stone Age","Monsters In The Parasol",207653
"2019-01-01 17:15:00","Queens of the Stone Age","Quick And To The Pointless",102640
"2019-01-01 17:18:00","Queens of the Stone Age","In The Fade/Feel Good Hit Of The Summer (Reprise)",27776
"2019-01-01 18:20:00","Tom Odell","Another Love",244360
"2019-01-01 18:24:00","James Bay","Hold Back The River",238746
"2019-01-01 18:28:00","Hozier","Take Me To Church",241688
"2019-01-01 18:32:00","Birdy","People Help the People",256236
"2019-01-01 21:07:00","Queen","Bohemian Rhapsody - 2011 Mix",349592
"2019-01-01 21:15:00","Pink Floyd","High Hopes - 2011 Remaster",451688
"2019-01-01 21:20:00","Pink Floyd","Wish You Were Here - 2011 Remastered Version",334743
"2019-01-01 21:31:00","Pink Floyd","Shine On You Crazy Diamond, Pts. 6-9 - 2011 Remastered Version",649404
"2019-01-01 21:38:00","Pink Floyd","Time - 2011 Remastered Version",413947
"2019-01-01 21:43:00","Pink Floyd","The Great Gig In The Sky - 2011 Remastered Version",283872
"2019-01-01 21:49:00","Pink Floyd","Money - 2011 Remastered Version",382834
"2019-01-01 21:57:00","Pink Floyd","Us And Them - 2011 Remastered Version",469224
"2019-01-01 22:00:00","Pink Floyd","Any Colour You Like - 2011 Remastered Version",206429
"2019-01-01 22:04:00","Pink Floyd","Brain Damage - 2011 Remastered Version",226666
"2019-01-01 22:06:00","Pink Floyd","Eclipse - 2011 Remastered Version",130428
"2019-01-01 22:19:00","Pink Floyd","Echoes - Live At Pompeii, 2016 Remix",782812
"2019-01-01 22:21:00","Pink Floyd","Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remastered Version",87429
"2019-01-02 08:26:00","The Strokes","Taken for a Fool",203240
"2019-01-02 08:31:00","Pink Floyd","Wish You Were Here - 2011 Remastered Version",308372
