,USA and CAN,Euro area,China,East Asia excluding China,Other EMDEs,United Kingdom,Rest of world
2018M1,1.19,1.36,1.27,1.14,0.94,0.05,0.59
2018M2,1.20,1.36,0.94,1.46,0.96,-0.02,0.45
2018M3,1.14,1.32,1.31,1.18,0.89,-0.02,0.34
2018M4,1.27,1.04,0.74,1.32,0.77,-0.04,0.28
2018M5,1.16,0.92,1.27,1.04,0.61,-0.02,0.29
2018M6,1.00,0.64,1.12,1.05,0.53,-0.06,0.32
2018M7,1.03,0.75,1.22,1.00,0.53,-0.10,0.25
2018M8,1.13,0.59,1.17,0.91,0.54,-0.07,0.19
2018M9,1.30,0.65,1.37,0.90,0.38,-0.06,0.11
2018M10,1.33,0.39,1.43,0.99,0.20,-0.02,0.08
2018M11,0.99,0.35,0.75,0.76,0.11,-0.03,0.05
2018M12,0.65,0.27,-0.11,0.44,-0.07,0.04,0.05
2019M1,0.42,0.35,-0.79,0.00,-0.13,0.21,0.00
2019M2,0.38,0.35,-0.88,-0.71,-0.23,0.51,0.03
2019M3,0.35,0.54,-0.44,-0.62,-0.14,0.71,0.01
2019M4,0.12,0.62,-0.01,-0.71,-0.15,0.55,-0.01
2019M5,0.26,0.58,-0.22,-0.27,-0.04,0.22,-0.08
2019M6,0.24,0.54,-0.32,-0.34,-0.10,-0.07,-0.12
