Player,Team,Captain,Kills,Deaths
Kjaerbye,North,No,61,34
aizy,North,No,57,37
JUGi,North,No,52,40
gade,North,Yes,43,43
mouz,Aristocracy,No,45,50
cajunb,North,No,36,42
rallen,Aristocracy,No,39,47
TaZ,Aristocracy,Yes,39,50
MINISE,Aristocracy,No,36,48
dycha,Aristocracy,No,36,54
